average Silhouette Value = 0.251658

nFID			silhouette_val
1044			0.247564
9098			0.149609
7652			-0.038081
6427			0.306115
7722			0.188077
5760			0.491578
5768			0.491185
706			0.235956
4538			0.345896
7406			0.166002
8872			0.173014
8341			0.272679
9337			0.154163
8520			0.117276
8991			0.077824
8082			0.413727
1605			0.438374
551			0.316249
4357			0.200384
83			0.243105
3315			0.032768
2680			0.209161
3473			0.278675
3762			0.145997
2627			0.189121
4079			0.290894
4165			0.307785
1303			0.294379
1743			0.312347
1185			0.281234
2537			0.237175
5195			0.297245
2880			0.134867
403			0.031890
3189			0.294189
3198			0.292273
8365			0.150361
7669			0.121425
4463			0.272354
236			0.377230
1487			0.433314
1417			0.451343
1354			0.152560
334			-0.008376
7408			0.033571
8668			0.021795
4834			0.275185
7001			0.347933
2753			0.238856
3468			0.089516
5213			0.435296
3108			0.335592
1501			0.439518
2117			0.130424
1752			0.310390
7145			0.317375
5298			0.465104
206			0.344483
8893			0.213056
6905			0.407406
5537			0.153028
3726			0.369485
5067			0.395642
5071			0.395295
8997			0.401073
1283			0.199466
5364			0.482357
1149			0.034404
2068			0.311032
1859			0.362233
6655			0.093590
6028			0.017220
6698			0.335303
66			0.240967
3510			0.165775
8297			0.313644
7352			0.202255
5838			0.017460
5644			0.232368
6734			0.044358
4088			0.230951
9202			0.143718
7113			0.107941
5350			0.487082
8860			0.272234
7100			0.252141
7564			0.025706
1233			0.316653
4485			0.294020
4026			0.271165
3392			0.347799
3035			0.308871
6230			0.014312
4790			0.310131
6871			0.355696
4049			0.310713
9080			0.289463
6963			0.382393
1393			0.449800
